Temp,Strata,Noise,Season,VAST NC  A,VAST NC  B,VAST WC A,VAST WC B,Stratified Mean
Constant Temp.,all,no ,spring,0.45,0.49,0.13,0.18,0.18
Constant Temp.,all,yes,spring,0.55,0.73,0.18,0.43,0.14
Constant Temp.,all,no ,fall,0.31,0.28,0.05,0.05,0.26
Constant Temp.,all,yes,fall,0.45,0.41,0.15,0.06,0.27
Constant Temp.,reduced,no ,spring,0.34,0.34,0.3,0.35,0.45
Constant Temp.,reduced,yes,spring,0.31,0.3,0.45,0.33,0.44
Constant Temp.,reduced,no ,fall,0.34,0.36,0.46,0.48,0.54
Constant Temp.,reduced,yes,fall,0.29,0.33,0.41,0.46,0.5
Increasing Temp.,all,no ,spring,0.28,0.25,0.11,0.05,0.26
Increasing Temp.,all,yes,spring,0.35,0.3,0.11,0.06,0.31
Increasing Temp.,all,no ,fall,0.82,0.89,0.23,0.23,0.4
Increasing Temp.,all,yes,fall,1.01,1.04,0.29,0.35,0.39
Increasing Temp.,reduced,no ,spring,0.35,0.32,0.41,0.4,0.44
Increasing Temp.,reduced,yes,spring,0.33,0.38,0.39,0.37,0.36
Increasing Temp.,reduced,no ,fall,0.48,0.44,0.61,0.64,0.72
Increasing Temp.,reduced,yes,fall,0.49,0.42,0.6,0.62,0.7
