Temp,Covariate,Strata,Noise,Season,Scenario,Stratified Mean,VAST Estimate
constant,no cov,all,no ,spring,Constant Population,0.21,0.11
constant,no cov,all,yes,spring,Constant Population,0.25,0.16
constant,w/ cov,all,no ,spring,Constant Population,0.21,0.07
constant,w/ cov,all,yes,spring,Constant Population,0.25,0.08
constant,no cov,all,no ,fall,Constant Population,0.32,0.68
constant,no cov,all,yes,fall,Constant Population,0.31,0.77
constant,w/ cov,all,no ,fall,Constant Population,0.32,0.08
constant,w/ cov,all,yes,fall,Constant Population,0.31,0.11
constant,no cov,reduced,no ,spring,Constant Population,0.27,0.19
constant,no cov,reduced,yes,spring,Constant Population,0.26,0.15
constant,w/ cov,reduced,no ,spring,Constant Population,0.27,0.19
constant,w/ cov,reduced,yes,spring,Constant Population,0.26,0.14
constant,no cov,reduced,no ,fall,Constant Population,0.47,0.25
constant,no cov,reduced,yes,fall,Constant Population,0.49,0.36
constant,w/ cov,reduced,no ,fall,Constant Population,0.47,0.19
constant,w/ cov,reduced,yes,fall,Constant Population,0.49,0.17
increasing,no cov,all,no ,spring,Constant Population,0.28,0.11
increasing,no cov,all,yes,spring,Constant Population,0.28,0.15
increasing,w/ cov,all,no ,spring,Constant Population,0.28,0.06
increasing,w/ cov,all,yes,spring,Constant Population,0.28,0.12
increasing,no cov,all,no ,fall,Constant Population,0.51,1.26
increasing,no cov,all,yes,fall,Constant Population,0.5,1.38
increasing,w/ cov,all,no ,fall,Constant Population,0.51,0.23
increasing,w/ cov,all,yes,fall,Constant Population,0.5,0.28
increasing,no cov,reduced,no ,spring,Constant Population,0.31,0.17
increasing,no cov,reduced,yes,spring,Constant Population,0.29,0.19
increasing,w/ cov,reduced,no ,spring,Constant Population,0.31,0.17
increasing,w/ cov,reduced,yes,spring,Constant Population,0.29,0.15
increasing,no cov,reduced,no ,fall,Constant Population,0.64,0.75
increasing,no cov,reduced,yes,fall,Constant Population,0.66,0.89
increasing,w/ cov,reduced,no ,fall,Constant Population,0.64,0.2
increasing,w/ cov,reduced,yes,fall,Constant Population,0.66,0.13
constant,no cov,all,no ,spring,Increasing Population,0.16,0.13
constant,no cov,all,yes,spring,Increasing Population,0.22,0.21
constant,w/ cov,all,no ,spring,Increasing Population,0.16,0.06
constant,w/ cov,all,yes,spring,Increasing Population,0.22,0.07
constant,no cov,all,no ,fall,Increasing Population,0.34,0.36
constant,no cov,all,yes,fall,Increasing Population,0.46,0.44
constant,w/ cov,all,no ,fall,Increasing Population,0.34,0.08
constant,w/ cov,all,yes,fall,Increasing Population,0.46,0.17
constant,no cov,reduced,no ,spring,Increasing Population,0.2,0.15
constant,no cov,reduced,yes,spring,Increasing Population,0.22,0.11
constant,w/ cov,reduced,no ,spring,Increasing Population,0.2,0.17
constant,w/ cov,reduced,yes,spring,Increasing Population,0.22,0.13
constant,no cov,reduced,no ,fall,Increasing Population,0.41,0.11
constant,no cov,reduced,yes,fall,Increasing Population,0.46,0.21
constant,w/ cov,reduced,no ,fall,Increasing Population,0.41,0.22
constant,w/ cov,reduced,yes,fall,Increasing Population,0.46,0.19
increasing,no cov,all,no ,spring,Increasing Population,0.32,0.13
increasing,no cov,all,yes,spring,Increasing Population,0.34,0.16
increasing,w/ cov,all,no ,spring,Increasing Population,0.32,0.07
increasing,w/ cov,all,yes,spring,Increasing Population,0.34,0.1
increasing,no cov,all,no ,fall,Increasing Population,0.3,0.66
increasing,no cov,all,yes,fall,Increasing Population,0.39,0.71
increasing,w/ cov,all,no ,fall,Increasing Population,0.3,0.21
increasing,w/ cov,all,yes,fall,Increasing Population,0.3,0.37
increasing,no cov,reduced,no ,spring,Increasing Population,0.4,0.33
increasing,no cov,reduced,yes,spring,Increasing Population,0.41,0.26
increasing,w/ cov,reduced,no ,spring,Increasing Population,0.4,0.3
increasing,w/ cov,reduced,yes,spring,Increasing Population,0.41,0.25
increasing,no cov,reduced,no ,fall,Increasing Population,0.7,0.49
increasing,no cov,reduced,yes,fall,Increasing Population,0.69,0.48
increasing,w/ cov,reduced,no ,fall,Increasing Population,0.7,0.53
increasing,w/ cov,reduced,yes,fall,Increasing Population,0.69,0.5
constant,no cov,all,no ,spring,Decreasing Population,0.23,0.08
constant,no cov,all,yes,spring,Decreasing Population,0.27,0.11
constant,w/ cov,all,no ,spring,Decreasing Population,0.23,0.06
constant,w/ cov,all,yes,spring,Decreasing Population,0.27,0.07
constant,no cov,all,no ,fall,Decreasing Population,0.41,0.81
constant,no cov,all,yes,fall,Decreasing Population,0.44,1.09
constant,w/ cov,all,no ,fall,Decreasing Population,0.41,0.08
constant,w/ cov,all,yes,fall,Decreasing Population,0.44,0.18
constant,no cov,reduced,no ,spring,Decreasing Population,0.25,0.19
constant,no cov,reduced,yes,spring,Decreasing Population,0.3,0.16
constant,w/ cov,reduced,no ,spring,Decreasing Population,0.25,0.19
constant,w/ cov,reduced,yes,spring,Decreasing Population,0.3,0.16
constant,no cov,reduced,no ,fall,Decreasing Population,0.55,0.24
constant,no cov,reduced,yes,fall,Decreasing Population,0.53,0.36
constant,w/ cov,reduced,no ,fall,Decreasing Population,0.55,0.23
constant,w/ cov,reduced,yes,fall,Decreasing Population,0.53,0.24
increasing,no cov,all,no ,spring,Decreasing Population,0.22,0.15
increasing,no cov,all,yes,spring,Decreasing Population,0.26,0.17
increasing,w/ cov,all,no ,spring,Decreasing Population,0.22,0.07
increasing,w/ cov,all,yes,spring,Decreasing Population,0.26,0.1
increasing,no cov,all,no ,fall,Decreasing Population,0.28,1.06
increasing,no cov,all,yes,fall,Decreasing Population,0.25,1.1
increasing,w/ cov,all,no ,fall,Decreasing Population,0.28,0.15
increasing,w/ cov,all,yes,fall,Decreasing Population,0.25,0.2
increasing,no cov,reduced,no ,spring,Decreasing Population,0.32,0.14
